station_id,2549,57,30,1,2,3,4,2014,9129,40,44,9132,9131,17,9,15,9130,7,16,2015,43,55,49,22,66,41,38,9125,20,42,28,61,2010,47,46,2008,11,48,9118,10,51,13,60,1030,69,14,9128,2011,2016,59,58,2507,9121,67,65,1029,2013,37,19,70,71,68,64,45
2549,0,268,1832,642,583,74,475,1181,1256,1260,1178,1167,1111,1100,1256,1115,987,1160,1082,2087,1826,2073,2044,2075,2104,2092,2151,2158,2211,2879,1680,1176,1173,1281,1499,1844,1172,2046,1633,1314,1691,1479,1837,2138,1733,1533,1513,705,1008,1155,1282,873,2026,1700,1501,2428,1947,1861,1515,1749,2006,716,584,877
57,218,0,1718,634,500,284,334,1068,1142,1146,1064,1054,1020,987,1143,1001,1029,1047,968,1974,1713,1960,1931,1962,2102,2089,1990,2022,2097,2766,1707,1203,1200,1309,1527,1872,1200,2073,1660,1354,1511,1366,1658,1959,1553,1433,1333,514,817,965,1091,682,2054,1728,1465,2456,1949,1862,1444,1777,2019,525,432,762
30,1986,1848,0,2447,2313,1974,2147,655,595,573,743,748,771,762,600,792,1010,765,796,391,152,347,317,349,386,491,377,408,554,1182,1243,897,976,954,611,865,731,751,1252,594,1010,639,586,1051,702,891,1014,2039,1530,1825,1762,1841,698,536,423,943,526,439,353,441,596,1354,1423,1030
1,826,680,2290,0,142,884,320,1639,1714,1718,1636,1625,1592,1558,1714,1573,1601,1618,1540,2545,2284,2532,2502,2534,2674,2661,2562,2593,2669,3337,2299,1805,1798,1907,2129,2474,1801,2675,2252,1925,2083,1937,2229,2530,2125,2004,1905,626,1187,1071,1239,877,2656,2330,2036,3058,2521,2434,2015,2378,2590,1097,1003,1333
2,705,559,2169,148,0,771,178,1518,1593,1597,1515,1504,1471,1437,1593,1452,1479,1497,1419,2424,2163,2411,2381,2413,2553,2540,2441,2472,2548,3216,2178,1684,1677,1786,2008,2352,1680,2554,2131,1804,1962,1816,2108,2409,2004,1883,1784,486,1066,1014,1181,756,2535,2209,1915,2937,2400,2313,1894,2257,2469,976,882,1212
3,149,332,1817,670,611,0,502,1167,1242,1246,1164,1153,1097,1086,1242,1100,973,1146,1067,2073,1812,2059,2030,2061,2090,2078,2137,2144,2196,2865,1665,1161,1158,1267,1485,1830,1158,2031,1618,1300,1718,1465,1796,2165,1760,1519,1540,768,1071,1218,1345,936,2012,1686,1486,2414,1932,1847,1501,1735,1992,763,623,863
4,612,467,2099,400,252,678,0,1426,1500,1504,1422,1412,1378,1345,1501,1359,1387,1405,1326,2291,2071,2318,2289,2476,2460,2447,2348,2380,2414,3083,2085,1591,1585,1693,1915,2260,1588,2461,2038,1712,1806,1677,1953,2254,1849,1728,1629,325,909,852,1020,599,2442,2116,1823,2844,2307,2220,1802,2165,2377,821,790,1065
2014,1349,1211,669,1811,1676,1337,1510,0,93,97,124,134,218,125,100,213,514,151,214,925,663,911,882,913,950,1081,941,973,1048,1717,1192,594,665,753,815,1117,380,1128,1145,391,752,317,752,1187,781,383,721,1476,998,1294,1230,1295,1075,859,485,1477,941,854,420,797,1011,728,786,407
9129,1413,1275,641,1875,1740,1401,1574,83,0,71,207,217,301,189,123,296,597,234,297,872,636,883,854,1057,923,1054,914,945,995,1664,1164,668,747,725,787,1089,402,1100,1117,364,765,258,598,1200,656,323,734,1540,1027,1322,1259,1338,1047,831,457,1449,914,826,392,770,983,793,850,471
40,1431,1293,590,1892,1758,1419,1592,101,84,0,225,235,319,207,129,313,612,252,314,846,585,832,803,834,872,1003,862,894,969,1638,1113,617,696,674,736,1038,450,1049,1066,312,816,238,657,1252,714,382,786,1558,1078,1374,1310,1377,996,780,406,1398,862,775,341,719,932,810,868,489
44,1324,1186,713,1785,1651,1312,1485,48,137,141,0,121,205,100,125,200,501,138,201,969,708,955,926,957,995,1126,985,1017,1092,1761,1091,581,652,677,844,1146,418,1172,1044,421,727,361,727,1162,756,442,696,1451,973,1269,1205,1270,1119,833,487,1521,985,898,464,842,1055,703,761,382
9132,1292,1154,758,1753,1619,1280,1453,90,182,187,108,0,84,128,120,85,380,31,86,1014,752,999,970,1002,1096,1084,1143,1150,1137,1806,970,460,531,556,784,1119,297,1130,923,348,813,406,813,1248,842,473,782,1418,1022,1317,1254,1306,1077,805,459,1479,943,856,438,800,1013,739,729,417
9131,1300,1162,793,1761,1627,1288,1461,197,290,294,216,107,0,203,186,81,297,124,111,1101,787,1034,1005,1037,1131,1119,1178,1185,1225,1893,912,402,473,498,725,1070,266,1165,865,383,920,495,920,1355,949,580,889,1427,1092,1388,1325,1376,1112,840,494,1514,979,891,473,835,1048,809,737,488
17,1257,1119,766,1719,1584,1245,1418,115,190,194,103,157,214,0,181,149,465,174,116,1021,760,1007,978,1009,1047,1178,1038,1069,1144,1813,1257,615,686,711,938,1203,450,1224,1210,477,747,413,747,1182,776,470,716,1384,920,1215,1152,1203,1171,889,543,1573,1038,950,516,894,1107,636,694,315
9,1428,1290,661,1889,1755,1416,1589,85,115,113,143,148,232,196,0,227,483,165,228,909,655,902,873,904,999,987,1046,1053,1033,1701,1097,600,679,658,719,1022,327,1033,1050,296,821,304,681,1257,738,405,791,1555,1083,1378,1315,1374,980,708,362,1382,846,759,341,703,916,807,865,486
15,1237,1099,826,1698,1564,1225,1398,207,299,303,202,117,130,125,237,0,439,110,31,1131,821,1068,1039,1070,1165,1152,1211,1219,1254,1922,1040,530,601,626,854,1187,366,1198,993,417,871,523,872,1307,901,595,841,1364,1014,1310,1247,1298,1145,874,528,1547,1012,925,507,868,1082,731,674,410
9130,1057,975,905,1575,1441,1045,1274,332,424,428,336,242,159,258,342,160,0,235,190,1255,900,1147,1118,1149,1222,1209,1268,1275,1379,2047,887,318,343,451,641,986,273,1188,840,365,1005,647,1006,1441,1035,728,975,1240,1082,1378,1315,1290,1157,843,602,1559,1069,981,582,880,1138,799,550,478
7,1271,1133,780,1732,1598,1259,1432,98,191,195,117,22,87,110,128,64,383,0,46,1022,774,1022,992,1024,1119,1106,1165,1172,1145,1814,998,488,559,584,811,1141,319,1152,951,370,821,414,821,1256,850,481,790,1398,1000,1296,1233,1284,1099,827,481,1501,966,878,460,822,1035,717,708,396
16,1220,1082,810,1682,1547,1208,1381,190,283,287,186,100,113,108,220,48,422,93,0,1114,804,1052,1022,1054,1148,1136,1195,1202,1237,1906,1023,513,585,610,837,1171,349,1182,976,400,855,506,855,1290,884,578,824,1347,998,1293,1230,1282,1129,857,511,1531,996,908,490,852,1065,715,657,393
2015,2170,2032,329,2631,2497,2158,2331,839,772,757,964,973,1031,945,836,1052,1323,990,1055,0,413,243,196,202,312,417,303,334,377,827,1393,1209,1288,1267,923,861,1044,710,1402,906,1106,816,682,1147,798,987,1110,2217,1707,2003,1939,2019,657,698,735,876,426,484,666,602,457,1531,1607,1208
43,1924,1786,119,2385,2251,1912,2085,593,573,511,681,686,709,699,538,730,948,703,733,503,0,361,332,363,401,599,391,423,647,1294,1175,835,913,892,544,798,669,684,1185,532,1012,641,588,1053,704,893,1016,2051,1532,1827,1764,1843,631,469,361,1033,459,372,291,374,528,1356,1361,982
55,2193,2055,320,2655,2520,2181,2354,863,843,781,950,956,979,969,808,999,1217,973,1003,227,286,0,98,132,214,319,205,236,587,1037,1295,1104,1183,1162,813,763,939,612,1304,801,1317,928,893,1358,1009,1198,1321,2320,1819,2115,2051,2131,559,600,630,771,328,386,561,504,359,1573,1630,1251
49,2140,2002,267,2602,2468,2128,2301,810,790,728,898,903,926,916,755,946,1165,920,950,198,233,117,0,104,161,266,152,183,559,1009,1242,1051,1130,1109,760,710,886,559,1251,748,1288,875,864,1329,980,1169,1293,2267,1766,2062,1998,2078,506,548,577,718,275,333,508,451,306,1520,1577,1198
22,2198,2060,324,2659,2525,2186,2359,867,848,785,955,960,983,974,812,1004,1222,977,1008,203,290,150,102,0,219,254,140,241,564,1014,1230,1109,1188,1128,771,698,943,547,1240,806,1293,1003,869,1334,985,1174,1297,2325,1894,2190,2126,2206,494,536,648,706,263,321,565,439,294,1577,1635,1256
66,2186,2048,312,2648,2513,2174,2347,856,836,774,943,949,972,962,800,992,1210,966,996,295,279,213,143,175,0,231,117,54,656,1105,1207,1097,1176,1105,748,675,932,524,1217,794,1308,921,884,1349,1000,1189,1312,2313,1812,2107,2044,2123,471,513,625,683,240,298,553,416,271,1565,1623,1244
41,2282,2145,409,2744,2610,2271,2444,952,932,870,1040,1045,1068,1058,897,1089,1307,1062,1092,391,375,310,240,271,96,0,143,150,752,1202,1233,1183,1237,1131,774,701,1028,550,1242,891,1405,1017,980,1446,1097,1286,1409,2409,1908,2204,2140,2220,497,538,651,709,266,324,650,442,297,1662,1720,1341
38,2264,2075,339,2674,2540,2252,2374,882,862,800,970,975,998,988,827,1019,1295,992,1022,321,305,240,170,201,233,199,0,255,682,1132,1175,1125,1180,1073,716,643,992,492,1185,879,1335,947,910,1376,1027,1216,1339,2339,1838,2134,2070,2150,439,481,594,644,208,266,651,384,239,1592,1650,1271
9125,2213,2075,339,2675,2540,2201,2374,883,863,801,970,976,999,989,827,1019,1237,993,1023,322,306,240,170,202,59,290,176,0,683,1132,1266,1124,1203,1163,806,734,959,583,1275,821,1335,948,911,1376,1027,1216,1339,2340,1839,2134,2071,2150,530,571,650,742,299,357,580,475,330,1592,1650,1271
20,2301,2163,550,2763,2628,2289,2462,971,904,889,1095,1105,1163,1077,968,1183,1451,1122,1187,434,634,661,614,620,730,835,721,752,0,1123,1716,1363,1442,1421,1084,1339,1198,1128,1725,1060,1143,948,719,1086,836,1025,1148,2294,1784,2080,2017,2096,1075,1009,889,1311,844,912,820,914,875,1618,1738,1336
42,3077,2939,1237,3539,3405,3065,3238,1747,1680,1665,1871,1881,1939,1853,1744,1959,2230,1898,1963,937,1321,1164,1117,1123,1233,1338,1224,1255,1142,0,2314,2117,2196,2174,1831,1782,1952,1631,2323,1814,1654,1724,1304,1412,1481,1624,1751,3125,2552,2848,2773,2926,1578,1619,1643,1608,1347,1405,1573,1523,1378,2439,2514,2116
28,1602,1510,1227,2109,1975,1590,1809,960,993,986,978,869,792,978,933,880,749,906,909,1433,1221,1352,1282,1313,1138,1126,1185,1192,1740,2244,0,606,444,341,746,541,632,841,105,774,1682,1142,1695,2160,1711,1283,1617,1775,1656,1952,1888,1825,892,761,910,1342,976,895,925,845,1025,1392,1085,1055
61,1312,1231,878,1830,1696,1300,1530,555,588,616,573,464,387,580,437,459,401,501,488,1261,872,1120,1183,1215,1040,1027,1086,1094,1397,2053,510,0,118,96,435,758,217,971,463,403,1277,772,1277,1713,1307,878,1247,1495,1377,1672,1609,1545,961,636,539,1363,882,797,554,684,942,1113,806,776
2010,1261,1161,971,1761,1626,1250,1460,519,552,556,537,428,351,544,492,422,365,465,452,1354,965,1213,1277,1308,1133,1120,1179,1187,1490,2146,627,269,0,108,528,827,314,1039,580,456,1241,782,1241,1676,1270,842,1210,1426,1307,1603,1540,1476,1037,729,632,1457,975,890,647,778,1035,1043,736,706
47,1375,1275,955,1875,1740,1364,1574,626,659,693,644,536,459,651,511,530,472,572,559,1338,950,1258,1188,1219,1044,1031,1090,1098,1474,2130,483,308,114,0,512,719,291,931,436,481,1348,849,1349,1784,1378,949,1318,1540,1422,1717,1654,1590,928,666,617,1345,882,801,631,751,941,1157,850,820
46,1809,1727,480,2327,2192,1797,2026,726,708,646,784,730,679,834,641,764,841,766,768,863,474,755,749,780,605,593,652,659,1008,1655,892,670,724,703,0,515,543,546,901,469,1372,802,948,1413,1064,991,1395,1992,1687,1983,1919,2004,527,201,312,929,447,362,370,250,507,1437,1302,1116
2008,2079,1997,895,2597,2462,2067,2296,1161,1142,1080,1219,1164,1113,1268,1076,1199,1168,1200,1202,990,889,909,839,870,695,682,741,749,1409,1801,625,940,887,773,623,0,977,300,635,904,1787,1236,1363,1828,1479,1425,1791,2262,2122,2417,2354,2312,396,429,747,720,542,563,804,514,549,1872,1572,1551
11,1274,1192,781,1792,1657,1262,1491,418,452,412,437,328,253,446,337,325,315,367,354,1164,775,1023,993,1025,1066,1054,1113,1120,1295,1956,688,178,312,275,524,869,0,1023,641,256,1141,625,1141,1576,1170,742,1110,1457,1336,1631,1568,1507,988,678,442,1390,908,823,457,711,968,1074,767,731
48,2240,2159,757,2758,2624,2228,2458,1074,1054,992,1134,1138,1118,1180,992,1172,1279,1157,1176,801,751,719,649,705,506,493,552,560,1162,1619,892,1101,1114,1000,669,279,982,0,901,908,1649,1148,1225,1690,1341,1337,1653,2423,2034,2329,2266,2351,98,411,662,422,351,404,720,390,309,1784,1734,1463
9118,1714,1622,1246,2221,2087,1702,1921,1091,1124,1083,1109,1001,924,1089,1064,991,861,1037,1021,1453,1240,1372,1302,1333,1158,1145,1204,1212,1760,2264,115,703,575,437,766,561,729,861,0,871,1813,1239,1714,2180,1831,1414,1729,1886,1768,2064,2000,1937,912,780,1078,1361,996,915,1021,865,1045,1504,1197,1167
