cancel_dt,car_id,end_dt,forced_cancel_dt,forced_end_dt,id,omms_id,registered_dt,reserved_type,sharing_uid,start_dt,station_id_dst,station_id_org,status,is_rebalancing_trip,duration,expected_duration,ETA
,84,,,,315708,TP#097N0,2018-03-26 06:43:16+09:00,1,100314906,2018-03-26 07:04:30+09:00,65,65,12,False,3 days 00:57:44.000000000,0 days 00:00:00.000000000,2018-03-26 07:04:30+09:00
,35,,,,315931,TP#0BC94,2018-03-26 14:44:33+09:00,1,100315128,2018-03-26 14:44:58+09:00,3,22,12,False,2 days 16:56:27.000000000,0 days 00:13:52.000000000,2018-03-26 14:58:50+09:00
,70,,,,316303,TP#0L2B6,2018-03-27 09:27:10+09:00,1,100315498,2018-03-27 09:46:33+09:00,3,3,12,False,1 days 22:13:50.000000000,0 days 00:00:00.000000000,2018-03-27 09:46:33+09:00
,91,,,,316310,TP#0L126,2018-03-27 09:43:28+09:00,1,100315505,2018-03-27 09:46:17+09:00,3,3,12,False,1 days 21:57:32.000000000,0 days 00:00:00.000000000,2018-03-27 09:46:17+09:00
,34,,,,316821,TP#0FTK1,2018-03-28 09:48:50+09:00,1,100316014,2018-03-28 09:55:51+09:00,3,64,12,False,0 days 21:52:10.000000000,0 days 00:06:05.000000000,2018-03-28 10:01:56+09:00
,20,,,,317247,TP#0QNZ0,2018-03-29 04:45:06+09:00,1,100316439,2018-03-29 05:42:19+09:00,3,3,12,False,0 days 02:55:54.000000000,0 days 00:00:00.000000000,2018-03-29 05:42:19+09:00
,110,,,,317251,TP#097Q0,2018-03-29 05:55:01+09:00,1,100316443,2018-03-29 06:10:57+09:00,28,28,12,False,0 days 01:45:59.000000000,0 days 00:00:00.000000000,2018-03-29 06:10:57+09:00
,22,,,,317274,TP#0B1F2,2018-03-29 07:02:53+09:00,1,100316466,2018-03-29 07:28:00+09:00,7,16,12,False,0 days 00:38:07.000000000,0 days 00:00:20.000000000,2018-03-29 07:28:20+09:00
,80,,,,317318,TP#0JLC3,2018-03-29 08:13:24+09:00,1,100316510,2018-03-29 08:33:49+09:00,55,7,12,False,-1 days +23:27:36.000000000,0 days 00:05:38.000000000,2018-03-29 08:39:27+09:00
,86,,,,317353,TP#0B1Q7,2018-03-29 09:36:20+09:00,1,100316545,2018-03-29 09:37:48+09:00,7,66,12,False,-1 days +22:04:40.000000000,0 days 00:05:59.000000000,2018-03-29 09:43:47+09:00
,107,,,,317376,TP#07HM8,2018-03-29 10:24:11+09:00,1,100316568,2018-03-29 10:33:38+09:00,3,3,12,False,-1 days +21:16:49.000000000,0 days 00:00:00.000000000,2018-03-29 10:33:38+09:00
,6013,,,,317380,TP#0KZ14,2018-03-29 10:47:59+09:00,1,100316572,2018-03-29 10:48:33+09:00,2013,2013,12,False,-1 days +20:53:01.000000000,0 days 00:00:00.000000000,2018-03-29 10:48:33+09:00
,103,,,,317384,,2018-03-29 11:09:33+09:00,2,100316576,2018-03-29 11:10:09+09:00,30,30,92,True,-1 days +20:31:27.000000000,0 days 00:00:00.000000000,2018-03-29 11:10:09+09:00
,96,,,,317385,,2018-03-29 11:09:41+09:00,2,100316577,2018-03-29 11:10:12+09:00,30,30,92,True,-1 days +20:31:19.000000000,0 days 00:00:00.000000000,2018-03-29 11:10:12+09:00
,116,,,,317386,,2018-03-29 11:10:44+09:00,2,100316578,2018-03-29 11:11:03+09:00,30,30,92,True,-1 days +20:30:16.000000000,0 days 00:00:00.000000000,2018-03-29 11:11:03+09:00
